用户名,评论时间,评论内容,评分,赞同数,情感
心想是城,2023/2/5 17:54,这才叫做良心之作！这是香港版的教父、香港版的美国往事！这才叫做真正的电影！人文、艺术、传奇、历史、巨制…风再起时真的太棒了！翁导的世界是极具情怀的，想象世界是深刻的，枭雄犯罪片拍出了文艺境界，画面极具美感、故事架构清晰、双雄回忆推动剧情、历史场景巨制、郭富城梁朝伟演技精湛造型突出，尤其是郭富城的磊乐，四大探长之首的传奇枭雄，这张经过雕刻般的脸，演活了喜怒无常，嬉笑于外表、隐藏于内心！梁朝伟一如既往的内敛和隐忍，梁朝伟的笑始终是那么的让人记忆深刻！,50,5,1
放开那个浪味仙,2023/2/7 10:26,喜欢不起来，很难想象和《踏血寻梅》是同一个导演。,0,2,0
鬼腳七,2023/2/4 10:13,前两个小时就是大型的王家卫+许鞍华+吴宇森，把郭富城换成周润发，谭耀文换成梁家辉，杜鹃换成张曼玉，何珮瑜换成杨采妮，就有那个意思了。后半个小时和前面完全不是一回事，整个气质都变了，但是许冠文高光，牛逼。,30,9,1
网约车,2023/2/3 21:42,故事无聊，段落式电影靠胶片和回忆营造了一点文艺氛围。感情线四不像，结尾强行拉回来，不好看，耐着性子看完。有春光乍泄和花样年华的痕迹，导致杂糅且混乱。不过摄影还可以。,20,19,0
直胖,2023/2/8 21:56,视听语言混乱，心疼伟仔演这种烂片,20,4,0
那谁,2023/2/3 20:43,救命！港探旧时拼接片段回忆录？,20,18,0
一只不知名猫猫,2022/9/27 17:24,去年看的，杂糅太多种类型，导致越往后看越像一张被水泡碎的纸，不差，没那么好。,30,18,1
Sanders03,2023/2/4 22:24,如果说画面是血肉，配乐就是支撑的筋骨，有条件一定粤语场。门槛蛮高，在点到即止的历史洪流中，有相当多的细节需要观众脑补，但get到真的很开心。贯穿全片的爵士乐极佳，与精雕细琢的布景构成近年最佳港片体验，全片间歇性的精彩，烧钢琴的镜头和春夏的昙花一现真的很适合回忆，香港电影这个时代有翁子光是一份福气，他在构建自己的《巴比伦》,40,1,1
宝宝,2023/2/11 3:34,这很难评，我祝他成功吧，毕竟隔行如隔山。,20,6,0
Hi Friday,2023/2/4 22:06,特意在厦门找了粤语场，香港电影肯定要看粤语的！国语太没味道了。可惜我的香港粤语还是太差，好多完全听不懂的??,40,5,1
yuyuko,2023/2/4 20:13,还有四十分钟，好难熬,20,19,0
你说什么？,2023/2/4 14:43,wkw能不能把什么宝马迪奥的广告匀几条给翁子光拍拍 不然他拿电影来搞真的难顶 （两颗星都给大银幕tony仔,20,5,0
上北山,2023/2/3 21:36,画面音乐喜欢??但是剧情是什么。想讲的太多了没有层次。一度打哈欠??旁边人一直看表,30,6,1
阿德,2023/2/27 20:06,香港黑帮片情书,30,1,1
牛油打孖,2023/2/4 19:01,一下子被塞進了太多東西，中間不斷插入閃回，讓人眼花撩亂。但，梁朝偉真的太迷人了。,30,8,1
发条子橙橙,2023/2/3 21:37,叙事有待改进吧，好多莫名其妙的剧情和人物，还有装逼镜头和台词…不知道到底想表达什么，希望能好好讲个故事，文艺片也不一定要拍成mv才文艺。,30,9,1
幻聽麻瓜,2023/2/3 22:35,跟预想中差不多的拍法，工整有余，匠气盖住了灵气，跟郭富城主演的另一部电影浮城大亨略像，在情感发力上没准还输了一筹。手握几乎半璧香港影坛的卡司和配置，在当下此刻转头回望，至少该与烟尘滚滚的人事音书撞个满怀，但这一次的眼光停放处还是选得不咸不淡了些。,30,7,1
forfaen,2023/2/4 21:40,剧情非常赶，故事很碎，剧情谈不上有张力，女性角色塑造甚至可以说很失败。但是有一些莫名其妙的镜头真的很戳我的点，比如结婚那日穿着旗袍的杜鹃捶小腿的镜头，枪战在玻璃下仰拍的镜头，衣柜play，八卦镜镜片掉出来，黑豹扑食，很多很灵性的镜头语言配上梁朝伟和郭富城的帅脸，2个多小时也并不乏味。,30,1,1
leoleo,2023/2/10 20:15,比想象中好一点吧。。。大厨做的夹生饭。最开始那一段剪的好乱啊。。。结尾晚年拍的也有点累赘。。。原来七十年代就开始贪官跑路温哥华啦。第一个优点，回顾了很多历史上的点，gmd在hk。抗英等等。用了真实录像。第二个优点，把杜鹃拍的很美。装造都很不错。她长得的确有当年老上海的感觉。第三个优点，把春夏拍的很好。那一段是我觉得单拉出来不错的一段。春夏人美戏也不错。 槽点还有两位男主真的太老了。。。。五十多的人演三十多的人。。。“年轻人”真是尬死我了。。。这些演员看了三十年了。我们华语影坛是真没人了吗。梁朝伟和老婆完全父女感。。。。郭富城那个肚子吓到后排几位小姐姐了。。。有些情节挺狗血的。。还有配乐有点奇怪。。。。学王家卫土洋结合失败,0,1,0
侯晓林,2023/2/13 15:25,想拍好史诗感的片子，必须有通俗剧和商业片的功底。本片拍的最好的段落是郭富城和春夏的部分，非常近似 踏雪寻梅 质感的部分。本片最大的问题，是作者的浪漫 高过了 普通观众，却又没到大师的程度。,30,0,1
Jasmine_长乐,2023/2/3 22:14,2023.02.03 粤语原声超前点映打卡。本来以为是之前一些雷探长电影的故事线，没想到是一部充分展现香港的历史和风土人情的故事片。卡司阵容真的很强大，我觉得不是从两位主角当中选影帝，而是从片中的所有角色数影帝。郭富城和梁朝伟的对手戏很有意思，两个探长一个是热烈多情的舞王，一位是忧郁儒雅的钢琴王子，整部片子就是他俩随风而起、相爱相杀（？）又随风而落的过程。情感线很有意思，杜鹃演的女主角色，作为一位的“朱砂痣”，正巧是另一位的“白月光”。,40,7,1
薇羅尼卡,2023/5/4 19:01,野心很大，完成很拉，某种意义上浪费了这个世纪豪华卡司。导演想表达的东西很多，造成的结果就是焦点模糊，再加上144分钟的时长，看至后半确实有点挑战耐心。杜鹃的服化真美，其余就没了。23.2.3,30,0,1
Clyde,2023/2/9 20:42,好想看3个多小时的版本，就目前的版本而言，只能给三颗星，但该片的质量在林林总总的“四大探长”题材的影片中，大概仅次于《跛豪》。影片在商业上的失败，可能会导致很长一段时间都没有导演碰“四大探长”了，而这个题材，还缺少一部全景式的经典之作——不知道五小时版本能不能勉强扛起这面大旗？更不知道有生之年能否遇见更好的版本？如果素材足够，又有神级剪辑，该片也不是没有可能像《美国往事》那样成为再世经典。十余年前，翁子光还没有成为导演的时候，托冯宇的福，我便“认识”了他，这么多年，他一直在我的“朋友圈”里，看着他一步一步攒出了这部大制作，看着他的孩子成长，看着他变胖，但没想到还会看着他如此靠近王家卫。太怀旧的，太情调的，太香港的，可惜的是，看不到他的全部野心。,30,0,1
奇妙能力_,2023/2/4 20:12,虽然不至于睡着，但无语贯穿了看片始终。,20,14,0
j...oker,2023/2/7 22:31,"大杂烩风格、乱。想塞进去的东西太多了，每条线都舍不得丢。一些段落单独拎出来是美的，但是整体上不统一。HK首映见到了众主创，加一星！
（拍的时候应该很废烟吧）",40,1,1
姜大师,2023/2/3 21:53,你自己康康你拍的什么,30,10,1
我情绪零碎KAI,2023/2/5 19:28,"翁子光是有野心的，奈何太想要还原一段香港史诗却步步走错。镜头炫技成分大过实用性，表演无法搭建同频的磁场，剪辑不肯取舍拖累有效的叙事，最终在抵达观众的每一步上置屏设障。纵使理解于剧情遭删减的困难，也摇头于两个半小时信息量有限的窘境。
同样的镜头语言，在墨镜手里是让渡想象的空间，是留白。在翁子光这里成了文本单薄的遮羞布，他试图以此弥补演员表演上的缺陷，但最后稳定输出的只是一张张偷师王家卫的静态截图。",20,5,0
小山生桂枝,2023/4/14 23:04,有佳句而无佳篇。导演应该觉得自己拍了这么多素材特别厉害，必须全部塞进电影吧，乱死了……不过梁朝伟还是那么好。2月15日观影,30,0,1
Dgnic_,2023/2/5 0:23,也许是审核压力，也许是剪辑目的，不管怎样，《风再起时》最终呈现的是一个完全失序的叙事，在其所持有的鲜明主题与激烈矛盾下，这如同醉汉般东一榔头西一棒子的讲故事方式，不仅让它没能拥有王家卫电影似的碎片趣味，更让整部电影显得是如此地难以沉浸——哪怕其中有几段拎出来看是有点意思，但顺着看却一点没有这样的感觉，只剩下找不到重点、摸不清整体，以及晕头乱向。两个男主人公的人物弧光和路线之争好像本是影片的重点着力之处，可最后无论变质还是分歧，都只被消弭在看似风起云涌的历史中，变得琐碎而孤立，仿佛邻居家什么鸡毛蒜皮事，时时带着几分难以忍受的聒噪。而在这样的叙事表现下，电影再怎么去努力强化自身的电影感，去雕琢每个片段的构图、光影、空镜，观众能感受到的，依旧只能是那阵没搔到痒处的难熬。,20,9,0
黑骨精,2023/2/5 11:40,老饭新炒，好题材也经不住反复折腾。导演极力呈现了史诗下的香港，但明显故事并没有凿实，观感也是支离破碎的。,20,3,0
usual,2023/2/4 21:30,静下心来好好讲故事那么难吗 不用虚晃无意义的象征镜头那么难吗 不用莫名其妙风格吊诡的bgm那么难吗 不用各种烂大街的故事人物梗那么难吗 全程没有重点拼接起来的烂片 恭喜梁朝伟新晋为烂片之王,10,19,0
影视爱好者,2023/1/27 15:18,被雪藏了这么久的片子终于得见天日。卡司一流，与大多数港片风格不同，带有浪漫和年代气息。梁朝伟很有魅力。,50,13,1
Jacques,2023/2/11 14:19,一半的美国往事吧。应该出导演剪辑版,40,0,1
梁威是条狗,2023/2/3 23:11,在英治香港黑暗时代互相扶持互相暗斗的双雄故事。尽量五亿探长这个相关题材已经有很多的影视作品，但这部影片还是用很新颖的视角带来更立体的人物、更新鲜的隐秘内容。比如五亿探长、抗日战争这两个看起来毫无联系的关键词，竟然是和剧情紧密关联的。同时两个角色有很强的对比，梁朝伟的南江内敛、不露锋芒、不怒自威，郭富城饰演的磊乐外放、锋芒毕露、霸道独行，梁朝伟的角色心理更加复杂，表演也更有层次感。南江的无厘头绰号恰是对角色很好的总结，看似很跳脱的举动，其实由人物成长经历和内心动机触发的。另外，杜鹃的造型和相貌确实很有年代感，春夏出演翁子光导演两部戏都是很让人惋惜的下场啊。,40,8,1
touya,2023/2/4 19:38,点映场，公映许可显示2020年，三年里不知道翁导到底改动了多少内容，但我相信整部片子的气质应该是不变的。一部文艺向的枭雄片，没有火爆的枪战，反倒聚焦在儿女情长上，有几幕实在太王家卫了，重感受而非更充实的内容。借吕乐蓝刚两人的成长轨迹放眼几十年香港沉浮，可以说是柔情，也可以说不够厚重，突如其来的歌舞片段落直接把我看无语了……这一出罗曼史倒是非常彰显演员魅力，但镜头剪得太碎剧情一会儿赶一会儿散，始终没有提起气来。时代造人，人也引领时代，功过是非在这部片里似乎从不重要。话说谁能告诉我张兆辉在片子里到底演那个角色啊？,30,1,1
乌鸦火堂,2023/2/5 13:31,"翁子光野心非常大，我猜他是要拍港版《美国往事》。但效果一言难尽，历史厚重、镜头调度、光影细节和演员表演极佳，组合在一起就变成PPT，要不是画面和演员都撑不下去。

翁子光肯定是要打造严肃史诗的，但浪漫主义和江湖兄弟情的塑造，又是枭雄片的做法。与其埋怨审查，倒不如说导演创作受到投资方的干扰，这么大投资的电影肯定要为市场考虑，导致电影风格一会儿王家卫，一会儿吴宇森，也使该片成为打算走历史史诗路线却又巴望着娱乐效果的四不像。如果存在4个小时完整版的话，那时候再说。

许冠文和谭耀文最佳，谢君豪版跛豪，形象和气质都不符。而何启南饰演那位组建足球队的警长曾世荣，原型就是曾志伟的老爸。国语版给梁朝伟配音的竟然是祖峰，",30,8,1
macca,2023/2/4 21:34,原來蔡真才是真正贏家，有智慧，有手腕，還得到了兩個帥哥。,40,1,1
深夜声噎,2023/2/4 13:27,很浪漫主义，经过几年搁置拖延和不知发生什么质感也保留得不错，看出来在南海影视城拍的啦啦land了，十五蚊早场@佛老汇好抵睇，老伙计的配乐一如既往棒，好几个镜头惊艳到，春夏还在真好，豪哥的坡豪太可了但戏份少得让人愤愤，最惨是定格脸杜鹃小姐风上映时已经过气好几年。总而言之后面的风没敢blow起来可惜。迟到十分钟，黑白鬼子还在年代快结束坐下，等二白给我复述了。,40,5,1
-imparatruder-,2023/2/4 14:08,香港的罗曼蒂克消亡史，历史歌舞爱情黑帮警匪，多类型混合，中间还夹杂了一段主旋律独白，还有多处迷影桥段，使得这么长的电影并不觉得太疲倦。梁朝伟认真演戏还是非常抓人的，尤其喜欢他和杜鹃的戏。塞入了雨中曲、lalaland、花样年华、无间道、vertigo…,40,4,1
Dear Cosmos,2023/2/8 14:04,仿佛误入一场家宴，无动于衷地看着他人的家庭录像带，迷影与历史情怀的喷薄都过于私人，即使观众能够识别这是导演有意为之，也很难吃得消这么短平快的符号化叙事，加之时间跨度和叙事体量，整体的观感像是数十个mv串烧，而在不可抗力的影响下，全片最长的一个镜头竟是许冠文在廉政公署发表扫黑宣言大表忠心！我不知道翁子光是否在有意调侃港片的叙事，他将男主角的一切行动都简化为“为情所困”，双雄模式快演变成“双雄性模式”了，就连致敬《花样年华》的片段也变得俗艳难忍。以回忆为唯一驱动力的倒叙则是把冰山原则颠倒过来，让观众难以相信眼前的人物（因为你不知道他下一秒又会掏出怎样的秘密），甚至难以相信他们所处的整个年代以及整部电影——或许这弥漫的虚假才是导演的目的？那让人动容就不再是情怀，而是彻底的无奈。,20,4,0
芝士汉堡.,2023/2/5 0:50,【3.5+】一段历史洪流的浮沉往事摊开柔与刚的情绪纠缠，迷醉诱人的文艺气质把我们丢入那个繁荣鼎盛的港影世界，看残酷战火中依旧坚挺的血肉之诗，看纸醉金迷里权欲盛典的狂热浪潮，看枭雄联手的发家传奇，看惺惺相惜背后的心有罅隙，看隐入时代的悲情如何泛出泪花，看梦魇裹挟的真相道出藏匿内心痛的因果，看成全与退场收束的坦然化为作别的灰烬，不过都是为乱世求得的一份安稳，不过都是记忆洒落的浮光掠影，缺点和《无名》相当，但已足够好看……,40,3,1
爱笑男孩杰乌索,2023/2/5 17:18,"一直把片名《风再起时》，看成《风云再起》。
翁子光不想复刻《五亿探长雷洛传》的雷洛个人崛起故事，而是想拍成一个文艺范的《香港往事》。
然而，却拍成了一个两个多小时的超长MV，故事想一出是一出，节奏也放弃了流畅性。虽然有很多国产片里罕见的历史事件，却没有横跨四十年的史诗感，反而是有一股浓浓的劣质MV感。
与其看这个，不如去看那两部《五亿探长雷洛传》，并且那里面第二部也有郭富城。",20,4,0
Andy Dufresne,2023/2/5 0:13,"6-
泛滥的慢镜头不但没有给电影制造如《花样年华》般的情绪氛围，反而颇具mv的廉价感。戏眼在郭富城身上，但是这个角色的印象除了洗黑钱and老婆上位菀菀类卿等俗套梗，别无新意。反倒是丑造型的梁朝伟在某些时刻，别有一番风味。",20,11,0
Vincent,2023/2/4 17:02,香港电影烂到这种程度是没想到的。,10,25,0
zxy,2023/2/4 21:23,都什么年代了还拍这么恶心人的船戏，挺着快怀孕的肚子油腻的要死，给我来个王一博至少都比这清爽点,10,14,0
风过无痕,2023/2/3 22:11,春节后第一场不散。怎么说呢，这部剧没有港片之前常用的快节奏，多反转，充斥着各种慢动作。该片只把廉政公署成立的原因进行了年度梳理，剧情上无任何波澜，只是平铺直叙。郭富城，梁朝伟莫名其妙的在钢琴曲bgm后，和解，不知道之前矛盾的铺设为何意。,20,16,0
超人叔叔,2023/2/4 20:56,开篇给了一些期待 如果只半程结束的话倒是能接受 港警作风还真是五十年不变 可惜没法再大胆点影射了,20,6,0
鹅岭懒人,2023/2/7 21:14,三星半。跳票太久的电影，去看的时候怀着见旧友的心情。翁子光很浪漫，但那不是糖水式的浪漫，浪漫若与残酷无关，那便不是值得回味的情愫。,40,2,1
晚不安,2023/2/7 19:32,时间跨度长达三十多年，试图与香港历史（包括影史）对话，但叙事能力完全匹配不上叙事野心，所谓“香港往事”扁平得如同剧情大纲。用《花样年华》《春光乍泄》的方式拍雷洛探长和跛豪的故事，影像上极致雕琢，但剪辑明显没沉住气，只有造型，不见情绪。浓墨重彩的都是感情戏，而双雄对峙没有足够的张力，故事线头凌乱得散落各处，唯独不见对两人关系的准确刻画。能看出导演对香港的人事物都充满了感情，但这次影像上的豪赌无疑以失败告终。当回忆走向奢侈，也就可能变得愈发黯淡。,20,5,0
大卫爷儿,2023/4/29 18:07,毒液，你的Chinese girl friend太岁来了…,30,242,1
时金,2023/4/29 18:47,好尴尬的素儿,20,42,0
同志亦凡人中文站,2023/5/1 19:03,特效堆满，花里胡哨。这种按摩大脑皮层的网大...以后请多来点儿！,30,35,1
拔剑四顾心茫然,2023/5/3 15:35,精华全在预告片系列。项式兄弟很清楚网大的受众口味：仙侠，猎奇，刺激，血腥，大尺度。把钱花在特效上确实不失为一种选择，至少在成片上，太岁附身，风小小的金鱼，老大的镇魂钟，人面虫妖（有点伊藤润二的味道）等场面确实赚足了眼球，某种程度上延续了香港80s百花齐放的cult片血脉，但也仅仅是奇观上的延续，剧本的精细度与趣味性都差了不少。大部分时间故事都是在吃《毒液》《捉妖记》《食神》的边角料，梦中梦的设计照搬了日本漫画《杀戮都市》：我以为是我救了你，才知道原来你早已经救过我。其实这种片子真的特别适合抖音3分钟解说，因为信息量特别小，观众不看剧情，剧组也不生产故事，咱们主打的就是一个五花八门的特效展示，就是酷。这个系列已经偏离了奇门遁甲最初的定位，第一部好歹还有个体系呈现，到这部连人名都省了。国产网大真不可信。,30,19,1
沉默的导航,2023/4/29 22:41,国内版毒液,20,26,0
Louis,2023/5/2 0:41,国内女毒液，太岁登场！,30,6,1
一贫,2023/4/30 17:48,"之前无意中刷到这个的预告片，有刘雅瑟刘晓庆，感觉还行，而且还说是什么正统续作。刚刚打开电视就直接首页推荐了，那就看了呗。
作为网大倒是挺不错的，只是看不出奇门在哪遁甲又在哪，直接叫降妖记也不是不行。
另外，现在才发现所谓正统续作，说的看来并不是周冬雨那部啊，而是同导演的另一部吧。。。算了，再去把这部翻来看一看好了。。。╮(╯▽╰)╭",30,8,1
啵妞,2023/4/30 20:02,其实还不错。。。比很多“大片儿”逻辑合理多了。,40,52,1
Believe,2023/4/30 15:16,多拍点这种类型的，说不定有一定积累后会产出一部经典！,40,19,1
乌鸦火堂,2023/5/9 12:58,"这不就是“毒液+魔掌+黑衣人“嘛。

不如第一集，这部倒是拓展了世界观，把雾隐门强化成“XX管理局”那种组织，有望继续拍下去，就看那些杂耍般的玄门武艺能发展到什么程度了。就从本片来看，依然是第一部那一套，还参考了外国电影，而这几位招式加一块都不如《剑雨》里的彩戏师有创意。

本片也就看看项式兄弟的美工和道具特色了，妖异元素和场景是看点。一部院线两部网大，三部故事模板都一样——菜鸟误打误撞入门，最后整出一个超级赛亚人灭了大反派，所以这个系列应该只有一个剧本，把元素和角色替换一下就行，下部直接交给AI写得了。",30,0,1
青鱼,2023/4/30 9:28,"哈哈，看之前以为已经出了，先被骗去看了奇门遁术2，哈哈
这个比那个奇门遁术2明显高级不少，演员都比较知名，还有新晋影后，摄影也很考究，质感比一般的网大要好很多，甚至可以勉强上院线？
但要说剧情吧，也就那样，我甚至觉得还没有隔壁那部奇门遁术2剧情好看。
也就马马虎虎凑合看吧。",30,10,1
猫阿水,2023/5/2 21:24,想成了见龙卸甲。。。,0,0,0
茗政.,2023/5/4 4:37,如果能够世界观笃定，技能设置持续，角色演员固定，按第一部发展下去，并进行辐射人物的短片创作，在保有质量的基础下扩大基数，迟早会融成“新奇门遁甲”宇宙，那不也算是我国特有电影IP的另类突破？奇幻+武侠，cult+网大，在赓续行侠仗义孤单衷肠只为救天下，江湖传说逍遥四海只为守护她的武侠类型片基础上，融入限制级的（血腥、暴力、恶心等）魔幻奇观，专注娱乐至上，完全和院线不一样的路数、审查机构和属性，网大不要太爽啊！,30,1,1
阿卜,2023/4/30 0:01,凑合看吧，这不能算奇门遁甲了，改成平妖传比较好…这个大蜘蛛精实在太恶心了??，不适合在饭点看…,20,12,0
老晃,2023/4/30 22:06,开篇5分钟不错…半小时后弃,20,16,0
亵渎电影,2023/5/2 16:48,以前以为网大不需要逻辑，原来头部的网大导演也是想要逻辑的。,20,6,0
обломов,2023/5/6 9:09,景拍得不错，脑洞还是大不如前,20,0,0
生煎咸鱼,2023/5/2 2:29,剧情不连贯，叙事与逻辑不清,20,3,0
当当当当,2023/5/2 15:48,网大里算是相当不错的，就是画面看着挺恶心。影后当上2022年的影后之前，还在2021年开机的网大当二番，不知道2023年了，影后资源咋样了。,30,2,1
kingkongofkhan,2023/4/30 13:18,这次的概念设计跟美术特效又上了一个档次，又克又B级，还完全以中式民俗灵感主体，挺好的。,30,7,1
SundanceKid??,2023/4/30 1:48,这...当自己拍的是东京食尸鬼吗。张晓晨的颜可以给个不错的分,20,1,0
SailorJ,2023/4/29 19:38,这可是写过《笑吧皮奥莱维奇》的于奥耶,0,0,0
W.史密斯,2023/5/1 18:15,网大电影拍成这个模样，有始有终，没有刻意擦边球，完整度已经很高了。基本上和上一部水平保持了一致，说明如一个电影烂，即使有那么多的明星，终究也就是一个网大电影。,30,4,1
左眼看电影,2023/4/29 23:00,鼓励一下吧，钱全花在特效上了，不过很有港片80年代的cult味,40,39,1
Hitomi,2023/4/29 21:00,我妈说好看，那就好看,40,12,1
申报记者何书桓,2023/4/29 19:17,至今不明白网大的受众群体都是哪些人,10,27,0
得嘞,2023/5/2 21:27,特效不错，网大里面不软。,30,2,1
嗦罗蜜,2023/5/9 0:42,网大仙妖其实大都能勾勒个蛮有意思的元宇宙，就是故事讲得不顺，开篇盲孩恨恐怖诡异，但也不知道和剧情有啥关系，中间绕来绕去，结尾还有反转，虽然煽情过分，但也还有个卡通类型的仙妖传的轮回壳子，就是儿戏了点，太岁的能力也没交代青醋，反派失去太岁轻而易举，然后弱鸡到爆。这个男主五官其实还挺有戏的，就是火候还不够，表演上给他的发挥其实不少，他都流于表面了，反倒是风小小形象虽然不恨出众，还有些仙侠的飘逸气质。总体来说，场面没做起来，故事也没讲透彻。该类型片其实应该好好致敬下早年的倩女幽魂。服化道置景和台词动作，特效不需要多强大，氛围做起来了，人妖难辨的乱世气氛是靠脑补出来的。黄沾的音乐一起，哥哥的声音忧郁飘渺，那个如堕云雾的氛围就弥漫出来了。好的音乐对这样的片子不仅是加分作用，简直就是画龙点睛，神采全来了,30,0,1
牧医见侍卫,2023/5/2 11:49,"-6.5分
-可能本身对虫子不感冒，前段还是比较那啥的
-整体看下来还可，但是工斧痕迹太重，结尾也是。。。",30,0,1
银敏悲,2023/4/29 19:15,发现一个规律，凡是节假日上线的网大基本都是烂片。,10,15,0
侯国涛,2023/5/5 0:55,7.0，表演、制作各方面都提升了很多，大片感更强了。项氏的视觉这块确实很不错，整体感很强，不过《奇门遁甲2》比他们拍的《鬼吹灯》还是要更细腻一些，明显是打造自己的IP了。比较不足的是剧本这块，还是有点松散，在情感上不够扎实，最后没虐出来。素儿选角也不太好，不像单纯小姑娘，有点显老。男主其实选角也一般，不够活泼，很多喜剧点没有演出来。刘雅瑟的完成度还是比较高，有点周迅当年的意思。,30,0,1
Rocinante,2023/4/30 22:42,还行，男女主角都不让人厌恶，台词尴尬的部分也都是编剧的锅。但是总归有点缺少电影感？,30,2,1
Mr.Hungry,2023/4/30 23:24,刘雅瑟圈粉，为国产特效水平高兴，剧本真的一般,30,1,1
月渐彩云归,2023/4/29 23:11,知道是网大，达到期望值就该给五星，刘雅瑟影后的实力是有的，虽然特效一般，好莱坞也有很多这种水平的作品。刘晓庆也是很不错的，吴因挺帅。,50,16,1
电视机,2023/5/6 22:46,中国版毒液，话说作为网大，这个水平比大鹏的那个奇门遁甲好多了,30,0,1
深秋,2023/5/7 12:23,这风格真帅，又想起伍佰大哥了。不过结尾大站也太儿戏了叭！少前面那么稳重，也许可以把诛仙的结尾搬过来试试。,30,0,1
胡阿忧,2023/5/10 22:04,故事有一定的深度，但是整体上有点儿散，对大魔王的描述不够细致，对前因后果缺乏足够的铺垫。对男女之间的感情表现很棒，在梦幻之间来回切换身份和感情，到底谁爱谁多一点这个场景表现的很不错。但是和奇门遁甲有什么关系呢？,30,0,1
淼大壮,2023/5/1 17:56,也没奇门遁甲啥事啊，直接叫捉妖记不行么？,30,0,1
颜落寒,2023/5/2 18:08,随便看看雅瑟小师妹。制作在网大里算不错了，就是剧本还欠打磨。,20,1,0
J.Wen,2023/5/5 23:23,这特效上的一成投资，能放在编剧上最终效果也会好很多呀,30,0,1
马斯洛负一层,2023/5/6 12:29,三星，特效真好！张晓晨演技真的很好诶！网大随便看看啦~,30,0,1
熊孩子爱评论,2023/5/2 3:47,这项氏兄弟电影不能看了 看了下导演出品的10几部电影没有一部电影超过7分 请问奇门遁甲在哪里 看完都没出现过,20,2,0
琥珀川,2023/5/1 23:51,怎么说呢，就张晓晨还行吧，剧情实在想吐槽又不知从何吐起，性格不合理的地方就不说了，战力也崩，剧情翻来翻去没啥惊喜光煽情了,30,0,1
LilHardboy金水,2023/5/8 23:47,剧本比第一部强不到哪去，特效美术倒还说得过去。,30,0,1
子戈,2023/4/27 21:09,"很少看网大，听说第一部是目前最卖座的网大，分账票房超过5000万，遂看了这部。
能明白它为什么那么卖。某种程度上，网大就像是制作更精良的B级片，奇门遁甲系列延续的是奇幻武侠这一中国传统类型模式，其在暴力惊悚程度和对怪力乱神的呈现上，是院线尺度可望不可及的。
某种程度上，网大更有纯粹的娱乐精神，不板起脸来说教，也不玩不痛不痒的小清新，而是注重强感官刺激的视听体验。这是对于院线的极大补充。
未来会更关注网大领域，它很有可能发展成独立于院线的一套新的创作模式和产业生态。自由有时候就潜伏在边缘。",0,8,0
餮饕,2023/5/3 20:24,人虫大战特效版,20,0,0
长琴,2023/4/30 21:42,妈耶这川妹太岁老让我有种宝儿姐的错觉！,30,3,1
在下三水,2023/5/4 15:04,两星半。好一个毒液川渝分液。分镜有些乱，特效有些糙，台词有些作，身份悬念有些俗。其中一些猎奇惊悚的元素感觉若登陆院线大概率是难以通过审查，难道网大能够成为中国多元亚文化低调聚集、暗暗喘息之地？倒是没想到刘雅瑟演网大是什么操作，难道这片是金像影后之前接的？,30,0,1
宋小卡,2023/4/30 15:06,有人说是中国毒液，有人说是中国寄生兽，反正就希望下次资金够的话，太岁镜头再多点,40,15,1
越审越多,2023/5/2 4:01,网大的上限也要借用别人的IP？,20,0,0
LEO LIU 一舟,2023/5/2 20:36,剧本差了点意思，如果有好编剧，可以更好，不过也比很多院线片好多了,30,1,1
凯文·史派东,2023/4/29 19:14,第一部是院线烂片，第二部是网大烂片。,10,17,0
刘振华,2023/5/1 10:01,"片子本身不功不过，没什么大毛病，但也没什么惊喜，总之就是走流程把一个自我感动、自我救赎的故事讲完了，作为网大来说已经很好了……
奇怪刘雅瑟作为金像奖影后，为什么开始演网大了？祝你越来越好吧！挺看好你的……",30,0,1
胧月夜,2023/5/9 23:18,emmm，就真的很像捉妖记。而且第二部感觉在走日系风是怎么回事？男主和女弟子的感情戏，和妹子的亲情戏又交代得不够清晰，其实可以渲染多点粉泡泡的。,30,0,1
星尘战场,2023/5/2 11:40,不如上一部，山寨毒液的感觉太强了,20,0,0
大上海红牡丹,2023/4/29 23:48,无论什么演员，拍了网大就废了！,10,8,0
迷蟲朋克,2023/5/1 14:55,"虫妖太岁的设定好惊喜！！就是要这种恶心扒拉的密集感才有味道，吸溜（但我想的不是毒液是寄生兽hhh）张晓晨本来就蛮适合怪奇世界观里的流浪道士，这次真的演了有点感动QAQ之前风起陇西死得太早了.....噗。但我很不爽为啥结局两个人就不能踏踏实实在一起呢！！啥意思啊轮回失忆可还行（翻白眼）。
对我这种鬼怪奇幻爱好者来说，口味略轻，真希望能在大银幕观看，那个触手的肌理纹路细节，视觉效果越好越爽。反正比前面两部要好多了。（再安利一下82版的《奇门遁甲》《追鬼七雄》和《新僵尸先生》，这个题材的王者之作orz）",40,6,1
黑白先生,2023/4/30 18:43,作为一个网剧来说，特效已经拉满了，国产毒液的剧情，已经是很良心制作了,40,16,1
